raceId,year,round,circuitId,date,time
989,2018,1,1,2018-03-25,05:10:00
990,2018,2,3,2018-04-08,15:10:00
991,2018,3,17,2018-04-15,06:10:00
992,2018,4,73,2018-04-29,12:10:00
993,2018,5,4,2018-05-13,13:10:00
994,2018,6,6,2018-05-27,13:10:00
995,2018,7,7,2018-06-10,18:10:00
996,2018,8,34,2018-06-24,14:10:00
997,2018,9,70,2018-07-01,13:10:00
998,2018,10,9,2018-07-08,13:10:00
999,2018,11,10,2018-07-22,13:10:00
1000,2018,12,11,2018-07-29,13:10:00
1001,2018,13,13,2018-08-26,13:10:00
1002,2018,14,14,2018-09-02,13:10:00
1003,2018,15,15,2018-09-16,12:10:00
1004,2018,16,71,2018-09-30,11:10:00
1005,2018,17,22,2018-10-07,05:10:00
1006,2018,18,69,2018-10-21,18:10:00
1007,2018,19,32,2018-10-28,19:10:00
1008,2018,20,18,2018-11-11,17:10:00
1009,2018,21,24,2018-11-25,13:10:00
1010,2019,1,1,2019-03-17,05:10:00
1011,2019,2,3,2019-03-31,15:10:00
1012,2019,3,17,2019-04-14,06:10:00
1013,2019,4,73,2019-04-28,12:10:00
1014,2019,5,4,2019-05-12,13:10:00
1015,2019,6,6,2019-05-26,13:10:00
1016,2019,7,7,2019-06-09,18:10:00
1017,2019,8,34,2019-06-23,13:10:00
1018,2019,9,70,2019-06-30,13:10:00
1019,2019,10,9,2019-07-14,13:10:00
1020,2019,11,10,2019-07-28,13:10:00
1021,2019,12,11,2019-08-04,13:10:00
1022,2019,13,13,2019-09-01,13:10:00
1023,2019,14,14,2019-09-08,13:10:00
1024,2019,15,15,2019-09-22,12:10:00
1025,2019,16,71,2019-09-29,11:10:00
1026,2019,17,22,2019-10-13,05:10:00
1027,2019,18,32,2019-10-27,19:10:00
1028,2019,19,69,2019-11-03,19:10:00
1029,2019,20,18,2019-11-17,17:10:00
1030,2019,21,24,2019-12-01,13:10:00
1031,2020,1,70,2020-07-05,13:10:00
1032,2020,2,70,2020-07-12,13:10:00
1033,2020,3,11,2020-07-19,13:10:00
1034,2020,4,9,2020-08-02,13:10:00
1035,2020,5,9,2020-08-09,13:10:00
1036,2020,6,4,2020-08-16,13:10:00
1037,2020,7,13,2020-08-30,13:10:00
1038,2020,8,14,2020-09-06,13:10:00
1039,2020,9,76,2020-09-13,13:10:00
1040,2020,10,71,2020-09-27,11:10:00
1041,2020,11,20,2020-10-11,13:10:00
1042,2020,12,75,2020-10-25,12:10:00
1043,2020,13,21,2020-11-01,12:10:00
1044,2020,14,5,2020-11-15,10:10:00
1045,2020,15,3,2020-11-29,14:10:00
1046,2020,16,3,2020-12-06,17:10:00
1047,2020,17,24,2020-12-13,13:10:00
1053,2021,2,21,2021-04-18,13:00:00
1074,2022,1,3,2022-03-20,15:00:00
