"session_key","meeting_key","date","driver_number","pit_duration","lap_number"
9465,1229,"2024-02-29T11:30:04.020000+00:00",27,NA,1
9465,1229,"2024-02-29T11:30:05.729000+00:00",77,NA,1
9465,1229,"2024-02-29T11:30:15.104000+00:00",31,NA,1
9465,1229,"2024-02-29T11:30:17.318000+00:00",20,NA,1
9465,1229,"2024-02-29T11:30:24.627000+00:00",81,NA,1
9465,1229,"2024-02-29T11:30:29.085000+00:00",4,NA,1
9465,1229,"2024-02-29T11:30:30.590000+00:00",24,NA,1
9465,1229,"2024-02-29T11:30:36.687000+00:00",10,NA,1
9465,1229,"2024-02-29T11:30:51.399000+00:00",23,NA,1
9465,1229,"2024-02-29T11:30:58.421000+00:00",11,NA,1
9465,1229,"2024-02-29T11:31:06.133000+00:00",44,NA,1
9465,1229,"2024-02-29T11:31:08.105000+00:00",55,NA,1
9465,1229,"2024-02-29T11:31:20.884000+00:00",16,NA,1
9465,1229,"2024-02-29T11:31:24.612000+00:00",22,NA,1
9465,1229,"2024-02-29T11:31:53.930000+00:00",3,NA,1
9465,1229,"2024-02-29T11:32:28.772000+00:00",14,NA,1
9465,1229,"2024-02-29T11:33:33.376000+00:00",63,NA,1
9465,1229,"2024-02-29T11:34:15.107000+00:00",18,NA,1
9465,1229,"2024-02-29T11:36:31.933000+00:00",1,NA,1
9465,1229,"2024-02-29T11:37:35.631000+00:00",11,29.8,4
9465,1229,"2024-02-29T11:37:57.349000+00:00",14,224.9,2
9465,1229,"2024-02-29T11:39:16.614000+00:00",2,NA,1
9465,1229,"2024-02-29T11:39:22.845000+00:00",27,51.7,6
9465,1229,"2024-02-29T11:39:40.349000+00:00",44,29.5,5
9465,1229,"2024-02-29T11:41:21.214000+00:00",77,550.7,2
9465,1229,"2024-02-29T11:41:32.383000+00:00",23,529.3,2
9465,1229,"2024-02-29T11:41:41.244000+00:00",55,30.5,6
9465,1229,"2024-02-29T11:42:25.103000+00:00",20,21.3,8
9465,1229,"2024-02-29T11:42:35.042000+00:00",24,582.5,2
9465,1229,"2024-02-29T11:43:03.426000+00:00",1,26.3,4
9465,1229,"2024-02-29T11:43:47.374000+00:00",16,31.7,7
9465,1229,"2024-02-29T11:45:01.784000+00:00",10,39.4,8
9465,1229,"2024-02-29T11:45:28.808000+00:00",31,48.3,8
9465,1229,"2024-02-29T11:50:03.151000+00:00",55,27.7,10
9465,1229,"2024-02-29T11:53:55.530000+00:00",81,688.3,7
9465,1229,"2024-02-29T11:54:46.639000+00:00",77,33,9
9465,1229,"2024-02-29T11:55:02.319000+00:00",4,621.2,8
9465,1229,"2024-02-29T11:57:57.056000+00:00",10,676.1,9
9465,1229,"2024-02-29T11:59:07.299000+00:00",4,27.6,10
9465,1229,"2024-02-29T11:59:12.885000+00:00",18,666.9,8
9465,1229,"2024-02-29T11:59:53.233000+00:00",27,722.1,11
9465,1229,"2024-02-29T11:59:59.566000+00:00",11,616,10
9465,1229,"2024-02-29T12:00:19.867000+00:00",1,714.5,7
9465,1229,"2024-02-29T12:01:03.751000+00:00",63,560.8,10
9465,1229,"2024-02-29T12:01:17.655000+00:00",44,948.9,8
9465,1229,"2024-02-29T12:01:21.088000+00:00",22,727.1,10
9465,1229,"2024-02-29T12:02:20.753000+00:00",55,527,12
9465,1229,"2024-02-29T12:02:25.768000+00:00",14,781,8
9465,1229,"2024-02-29T12:02:27.209000+00:00",3,649.8,11
9465,1229,"2024-02-29T12:02:33.218000+00:00",16,776.3,10
9465,1229,"2024-02-29T12:03:02.775000+00:00",77,382.9,10
9465,1229,"2024-02-29T12:04:07.031000+00:00",31,994.2,9
9465,1229,"2024-02-29T12:05:39.378000+00:00",20,1263.7,9
9465,1229,"2024-02-29T12:06:18.537000+00:00",11,29.2,13
9465,1229,"2024-02-29T12:08:43.376000+00:00",3,22.8,14
9465,1229,"2024-02-29T12:09:14.919000+00:00",23,774.3,10
9465,1229,"2024-02-29T12:11:31.960000+00:00",81,441.8,12
9465,1229,"2024-02-29T12:11:45.324000+00:00",24,1042.1,8
9465,1229,"2024-02-29T12:13:01.469000+00:00",44,381.6,11
9465,1229,"2024-02-29T12:13:13.669000+00:00",2,1196,9
9465,1229,"2024-02-29T12:15:50.101000+00:00",4,412.8,15
9465,1229,"2024-02-29T12:17:05.852000+00:00",14,401.9,12
9465,1229,"2024-02-29T12:17:24.693000+00:00",18,614.8,12
9465,1229,"2024-02-29T12:18:01.178000+00:00",63,346.4,16
9465,1229,"2024-02-29T12:18:18.571000+00:00",24,25,11
9465,1229,"2024-02-29T12:18:21.377000+00:00",22,281.8,16
9465,1229,"2024-02-29T12:18:43.829000+00:00",55,263.5,18
9465,1229,"2024-02-29T12:18:57.840000+00:00",1,399.2,13
9465,1229,"2024-02-29T12:19:04.332000+00:00",10,465.5,16
9465,1229,"2024-02-29T12:19:24.344000+00:00",16,302.4,16
9465,1229,"2024-02-29T12:19:42.655000+00:00",11,443.5,16
9465,1229,"2024-02-29T12:19:47.626000+00:00",3,542.9,15
9465,1229,"2024-02-29T12:21:43.185000+00:00",31,325.7,15
9465,1229,"2024-02-29T12:23:58.903000+00:00",77,538.5,16
9465,1229,"2024-02-29T12:28:12.218000+00:00",2,35.1,17
9465,1229,"2024-02-29T12:28:31.288000+00:00",44,27,20
9465,1229,"2024-02-29T12:28:44.213000+00:00",27,336.6,25
9465,1229,"2024-02-29T12:29:47.811000+00:00",24,354.8,14
9466,1229,"2024-02-29T15:00:02.140000+00:00",24,NA,1
9466,1229,"2024-02-29T15:00:07.232000+00:00",27,NA,1
9466,1229,"2024-02-29T15:00:20.549000+00:00",81,NA,1
9466,1229,"2024-02-29T15:00:25.264000+00:00",23,NA,1
9466,1229,"2024-02-29T15:00:29.562000+00:00",31,NA,1
9466,1229,"2024-02-29T15:00:34.179000+00:00",20,NA,1
9466,1229,"2024-02-29T15:00:51.841000+00:00",4,NA,1
9466,1229,"2024-02-29T15:00:55.536000+00:00",10,NA,1
9466,1229,"2024-02-29T15:01:06.299000+00:00",22,NA,1
9466,1229,"2024-02-29T15:01:09.056000+00:00",55,NA,1
9466,1229,"2024-02-29T15:01:17.066000+00:00",11,NA,1
9466,1229,"2024-02-29T15:01:27.159000+00:00",16,NA,1
9466,1229,"2024-02-29T15:01:29.358000+00:00",2,NA,1
9466,1229,"2024-02-29T15:01:39.047000+00:00",3,NA,1
9466,1229,"2024-02-29T15:01:57.891000+00:00",44,NA,1
9466,1229,"2024-02-29T15:03:53.182000+00:00",14,NA,1
9466,1229,"2024-02-29T15:03:58.653000+00:00",18,NA,1
9466,1229,"2024-02-29T15:04:45.266000+00:00",63,NA,1
9466,1229,"2024-02-29T15:07:27.767000+00:00",11,31.1,4
9466,1229,"2024-02-29T15:07:31.034000+00:00",55,32,4
9466,1229,"2024-02-29T15:07:43.984000+00:00",16,24.9,4
9466,1229,"2024-02-29T15:08:04.360000+00:00",1,NA,1
9466,1229,"2024-02-29T15:08:09.881000+00:00",44,28.5,4
9466,1229,"2024-02-29T15:14:52.720000+00:00",23,543.5,4
9466,1229,"2024-02-29T15:15:03.061000+00:00",2,275.9,6
9466,1229,"2024-02-29T15:16:30.433000+00:00",77,454,5
9466,1229,"2024-02-29T15:17:28.975000+00:00",14,360.4,5
9466,1229,"2024-02-29T15:18:30.651000+00:00",24,387.8,7
9466,1229,"2024-02-29T15:19:53.143000+00:00",20,446.7,7
9466,1229,"2024-02-29T15:20:25.162000+00:00",27,553.3,7
9466,1229,"2024-02-29T15:20:54.802000+00:00",55,449.1,7
9466,1229,"2024-02-29T15:20:57.894000+00:00",81,548,7
9466,1229,"2024-02-29T15:20:59.861000+00:00",2,22.8,9
9466,1229,"2024-02-29T15:21:02.610000+00:00",4,618.7,6
9466,1229,"2024-02-29T15:21:24.999000+00:00",16,471.6,7
9466,1229,"2024-02-29T15:22:06.691000+00:00",3,676.3,6
9466,1229,"2024-02-29T15:22:24.689000+00:00",22,385.4,9
9466,1229,"2024-02-29T15:22:42.536000+00:00",77,23.6,8
9466,1229,"2024-02-29T15:23:29.783000+00:00",31,657.5,7
9466,1229,"2024-02-29T15:23:34.965000+00:00",44,598.4,7
9466,1229,"2024-02-29T15:24:07.611000+00:00",11,655.4,7
9466,1229,"2024-02-29T15:24:45.860000+00:00",24,29,10
9466,1229,"2024-02-29T15:25:22.637000+00:00",18,389.9,9
9466,1229,"2024-02-29T15:25:40.460000+00:00",10,802.4,7
