"meeting_key","session_key","stint_number","driver_number","lap_start","lap_end","compound","tyre_age_at_start"
1140,9222,1,27,1,1,"TEST_UNKNOWN",0
1140,9222,1,34,1,1,"MEDIUM",0
1140,9222,1,81,1,1,"HARD",0
1140,9222,1,2,1,2,"SOFT",5
1140,9222,1,10,1,2,"HARD",0
1140,9222,1,14,1,2,"MEDIUM",5
1140,9222,1,23,1,2,"SOFT",0
1140,9222,1,24,1,2,"MEDIUM",0
1140,9222,1,1,1,3,"MEDIUM",0
1140,9222,1,22,1,3,"SOFT",0
1140,9222,1,44,1,3,"MEDIUM",16
1140,9222,1,4,1,4,"MEDIUM",5
1140,9222,1,31,1,4,"HARD",7
1140,9222,1,55,1,4,"MEDIUM",0
1140,9222,1,16,1,5,"MEDIUM",8
1140,9222,1,21,1,6,"MEDIUM",0
1140,9222,1,63,1,6,"HARD",0
1140,9222,1,20,1,7,"MEDIUM",0
1140,9222,1,77,1,9,"MEDIUM",8
1140,9222,2,34,2,2,"UNKNOWN",0
1140,9222,2,81,2,2,"HARD",1
1140,9222,2,27,2,8,"TEST_UNKNOWN",1
1140,9222,2,2,3,3,"SOFT",12
1140,9222,3,34,3,3,"MEDIUM",0
1140,9222,3,81,3,3,"HARD",2
1140,9222,2,23,3,4,"SOFT",2
1140,9222,2,24,3,4,"MEDIUM",2
1140,9222,2,14,3,7,"MEDIUM",0
1140,9222,2,10,3,12,"MEDIUM",0
1140,9222,3,2,4,4,"SOFT",0
1140,9222,2,22,4,4,"SOFT",3
1140,9222,4,81,4,4,"HARD",3
1140,9222,4,34,4,7,"MEDIUM",2
1140,9222,2,44,4,8,"MEDIUM",0
1140,9222,2,1,4,9,"MEDIUM",3
1140,9222,4,2,5,5,"SOFT",14
1140,9222,2,4,5,5,"MEDIUM",9
1140,9222,5,81,5,5,"HARD",4
1140,9222,3,23,5,6,"UNKNOWN",0
1140,9222,3,24,5,7,"MEDIUM",0
1140,9222,2,31,5,7,"HARD",11
1140,9222,2,55,5,8,"MEDIUM",4
1140,9222,3,22,5,9,"SOFT",4
1140,9222,6,81,6,6,"HARD",5
1140,9222,2,16,6,8,"TEST_UNKNOWN",0
1140,9222,5,2,6,10,"MEDIUM",15
1140,9222,3,4,6,15,"HARD",0
1140,9222,4,23,7,8,"SOFT",0
1140,9222,7,81,7,8,"HARD",0
1140,9222,2,21,7,9,"MEDIUM",0
1140,9222,2,63,7,11,"HARD",6
1140,9222,3,31,8,8,"HARD",14
1140,9222,5,34,8,11,"MEDIUM",1
1140,9222,3,14,8,12,"UNKNOWN",0
1140,9222,4,24,8,12,"MEDIUM",3
1140,9222,2,20,8,14,"MEDIUM",0
1140,9222,5,23,9,9,"SOFT",0
1140,9222,8,81,9,10,"HARD",8
1140,9222,3,44,9,11,"MEDIUM",0
1140,9222,3,55,9,11,"TEST_UNKNOWN",0
1140,9222,4,31,9,12,"HARD",15
1140,9222,3,27,9,13,"TEST_UNKNOWN",0
1140,9222,3,16,9,17,"TEST_UNKNOWN",3
1140,9222,6,23,10,10,"SOFT",9
1140,9222,2,77,10,10,"MEDIUM",17
1140,9222,4,22,10,12,"SOFT",9
1140,9222,3,1,10,18,"MEDIUM",0
1140,9222,3,21,10,18,"MEDIUM",3
1140,9222,7,23,11,15,"SOFT",0
1140,9222,9,81,11,15,"HARD",10
1140,9222,6,2,11,17,"MEDIUM",0
1140,9222,3,77,11,20,"MEDIUM",0
1140,9222,4,44,12,14,"MEDIUM",0
1140,9222,6,34,12,16,"MEDIUM",6
1140,9222,3,63,12,16,"HARD",11
1140,9222,4,55,12,19,"TEST_UNKNOWN",3
1140,9222,3,10,13,13,"MEDIUM",0
1140,9222,5,24,13,13,"MEDIUM",8
1140,9222,5,22,13,15,"SOFT",12
1140,9222,5,31,13,15,"HARD",19
1140,9222,4,14,13,28,"MEDIUM",5
1140,9222,4,27,14,16,"TEST_UNKNOWN",5
1140,9222,6,24,14,20,"MEDIUM",0
1140,9222,4,10,14,21,"MEDIUM",0
1140,9222,5,44,15,17,"MEDIUM",0
1140,9222,3,20,15,21,"MEDIUM",0
1140,9222,6,22,16,18,"SOFT",15
1140,9222,6,31,16,19,"MEDIUM",11
1140,9222,8,23,16,22,"MEDIUM",0
1140,9222,4,4,16,25,"HARD",0
1140,9222,10,81,16,25,"TEST_UNKNOWN",0
1140,9222,5,27,17,19,"TEST_UNKNOWN",8
1140,9222,7,34,17,20,"MEDIUM",5
