"session_key","meeting_key","driver_number","date","recording_url"
9465,1229,24,"2024-02-29T11:32:24.556000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/GUAZHO01_24_20240229_113203.mp3"
9465,1229,31,"2024-02-29T11:32:24.556000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ESTOCO01_31_20240229_113214.mp3"
9465,1229,4,"2024-02-29T11:34:05.347000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LANNOR01_4_20240229_113331.mp3"
9465,1229,77,"2024-02-29T11:34:05.941000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/VALBOT01_77_20240229_113333.mp3"
9465,1229,63,"2024-02-29T11:34:39.952000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/GEORUS01_63_20240229_113427.mp3"
9465,1229,11,"2024-02-29T11:35:47.711000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_113515.mp3"
9465,1229,24,"2024-02-29T11:36:55.296000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/GUAZHO01_24_20240229_113623.mp3"
9465,1229,3,"2024-02-29T11:37:30.387000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/DANRIC01_3_20240229_113657.mp3"
9465,1229,11,"2024-02-29T11:38:05.484000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_113739.mp3"
9465,1229,11,"2024-02-29T11:38:05.484000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_113752.mp3"
9465,1229,63,"2024-02-29T11:38:40.584000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/GEORUS01_63_20240229_113816.mp3"
9465,1229,10,"2024-02-29T11:40:20.902000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/PIEGAS01_10_20240229_113953.mp3"
9465,1229,31,"2024-02-29T11:40:56.007000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ESTOCO01_31_20240229_114025.mp3"
9465,1229,81,"2024-02-29T11:40:56.007000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/OSCPIA01_81_20240229_114045.mp3"
9465,1229,1,"2024-02-29T11:42:02.575000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/MAXVER01_1_20240229_114140.mp3"
9465,1229,24,"2024-02-29T11:42:37.064000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/GUAZHO01_24_20240229_114204.mp3"
9465,1229,31,"2024-02-29T11:44:18.794000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/ESTOCO01_31_20240229_114340.mp3"
9465,1229,1,"2024-02-29T11:49:22.403000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/MAXVER01_1_20240229_114848.mp3"
9465,1229,55,"2024-02-29T11:51:37.889000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CARSAI01_55_20240229_115117.mp3"
9465,1229,55,"2024-02-29T11:54:25.598000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/CARSAI01_55_20240229_115352.mp3"
9465,1229,81,"2024-02-29T11:58:23.948000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/OSCPIA01_81_20240229_115804.mp3"
9465,1229,81,"2024-02-29T12:00:37.060000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/OSCPIA01_81_20240229_120016.mp3"
9465,1229,81,"2024-02-29T12:00:37.199000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/OSCPIA01_81_20240229_120023.mp3"
9465,1229,18,"2024-02-29T12:01:11.180000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/LANSTR01_18_20240229_120059.mp3"
9465,1229,10,"2024-02-29T12:04:35.288000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/PIEGAS01_10_20240229_120409.mp3"
9465,1229,11,"2024-02-29T12:06:15.813000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_120611.mp3"
9465,1229,11,"2024-02-29T12:06:50.646000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_120614.mp3"
9465,1229,11,"2024-02-29T12:06:50.646000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_120617.mp3"
9465,1229,11,"2024-02-29T12:06:50.646000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/SERPER01_11_20240229_120621.mp3"
9465,1229,22,"2024-02-29T12:07:25.717000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_1/TeamRadio/YUKTSU01_22_20240229_120703.mp3"
